1600267591.86, -90.137369, -89.216531
1600267592.36, -90.117110, -89.093094
1600267592.86, -90.107539, -89.005393
1600267593.36, -90.107539, -88.932968
1600267593.86, -89.976922, -88.837211
1600267594.36, -89.999968, -88.744960
1600267594.86, -89.999968, -88.741548
1600267595.37, -89.974683, -88.773382
1600267595.86, -89.933995, -88.979377
1600267596.36, -89.933995, -89.234794
1600267596.87, -89.945523, -89.482311
1600267597.36, -89.902190, -89.779191
1600267597.87, -89.947849, -89.848734
1600267598.37, -90.173990, -90.203528
1600267598.87, -90.402546, -90.493323
1600267599.36, -90.402546, -90.784480
1600267599.86, -90.384888, -90.963889
1600267600.37, -90.410945, -91.159991
1600267600.86, -90.410945, -91.282899
1600267601.37, -90.375848, -91.383366
1600267601.87, -90.375848, -91.463968
1600267602.36, -90.307167, -91.161773
1600267602.86, -90.253930, -90.823690
1600267603.37, -90.374045, -90.636818
1600267603.86, -90.374045, -90.264478
1600267604.37, -90.362426, -90.113779
1600267604.86, -90.362426, -90.007182
1600267605.37, -90.238955, -89.900389
1600267605.87, -90.123417, -89.815153
1600267606.37, -90.110054, -89.716695
1600267606.87, -90.118459, -89.651632
1600267607.37, -90.118459, -89.512532
1600267607.87, -90.090873, -89.455528
1600267608.37, -90.073599, -89.429283
1600267608.87, -90.073599, -89.397452
1600267609.37, -90.005030, -89.343648
1600267609.87, -89.952632, -89.409576
1600267610.38, -89.877643, -89.355334
1600267610.87, -89.901457, -89.374613
1600267611.37, -89.901457, -89.385764
1600267611.88, -90.054762, -89.373064
1600267612.37, -90.054762, -89.374817
1600267612.87, -89.957992, -89.292102
1600267613.37, -89.695515, -89.264314
1600267613.87, -89.628997, -89.254821
1600267614.38, -89.718755, -89.227783
1600267614.88, -89.851858, -89.249032
1600267615.38, -89.870680, -89.263582
1600267615.88, -89.818126, -89.269558
1600267616.38, -89.774779, -89.282608
1600267616.87, -89.774779, -89.277065
1600267617.38, -89.883635, -89.279352
1600267617.88, -89.819560, -89.296226
1600267618.38, -89.819560, -89.310816
1600267618.88, -89.992317, -89.217593
1600267619.37, -89.992317, -89.272757
1600267619.88, -90.164502, -89.283212
1600267620.38, -90.138902, -89.287297
1600267620.88, -90.185159, -89.281540
1600267621.38, -90.185159, -89.245832
1600267621.88, -90.283347, -89.243289
1600267622.38, -90.213252, -89.197445
1600267622.88, -90.213252, -89.186040
1600267623.38, -90.079322, -89.212727
1600267623.88, -89.974842, -89.243270
1600267624.38, -89.738752, -89.255569
1600267624.88, -89.738752, -89.283650
1600267625.38, -89.776869, -89.194702
1600267625.88, -89.955169, -89.167876
1600267626.38, -89.981195, -89.125151
1600267626.88, -89.981195, -89.115918
1600267627.38, -89.905402, -89.074438
1600267627.89, -89.988994, -89.011881
1600267628.38, -89.988994, -88.993052
1600267628.89, -90.179703, -89.038258
1600267629.38, -90.179703, -88.984732
